"Date_exported","Period","Organisation unit","Number of fixed sessions planned","Daily fixed sessions conducted","Number of outreach sessions planned","FS_SS visits conducted by the LGA team ","OS_SS visits conducted by the LGA team ","Daily Fixed Sessions Reporting rate","Daily Outreach Sessions Reporting rate","Daily outreach sessions conducted","FS_Number of children given BCG","FS_Number vaccinated _Penta 1","FS_Number vaccinated _Penta2","FS_Number vaccinated _Penta3","FS_Number of children given IPV","FS_Number vaccinated _Measles","FS_BCG doses opened for session","FS_Doses opened  for  session_Measles","FS_Doses opened for session_Penta","FS_IPV doses opened for session","OS_Number of children given BCG","OS_Number vaccinated_Penta1","OS_Number vaccinated_Penta2","OS_Number vaccinated_Penta3","OS_Number of children given IPV","OS_Number vaccinated_Measles","OS_BCG doses opened for session","OS_Doses opened for session_Penta","OS_IPV doses opened for session","OS_Doses opened for session_Measles","Total BCG doses opened for fixed and outreach sessions","Total Number of children given BCG in fixed and outreach sessions","Total Measles doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Measles in fixed and outreach sessions","Total Penta doses utilized in fixed and outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in outreach sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed sessions","Total Number of children vaccinated with Penta (1, 2 or 3) in fixed and outreach sessions","Total IPV doses utilized in fixed and outreach sessions","Total Number of children vaccinated with IPV in fixed and outreach sessions"
"2018-12-06 09:27:49","2017W01","Nasarawa","23.0",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W02","Nasarawa","26.0",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W03","Nasarawa","18.0",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W04","Nasarawa","32.0",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W05","Nasarawa","27.0",NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W06","Nasarawa","38.0",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W07","Nasarawa","43.0",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W08","Nasarawa","18.0",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W09","Nasarawa","19.0",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2018-12-06 09:27:49","2017W10","Nasarawa","44.0",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
